AppID,Title,Rarest Achievement %,Completed
438420,Zenith,8.6,False
80350,Blackwell Convergence,8.5,True
520720,Dear Esther: Landmark Edition,8.5,False
343860,Tacoma,8.5,False
233470,Evoland,8.5,False
639470,Original Journey,8.5,False
241910,Goodbye Deponia,8.5,False
350640,Sherlock Holmes: The Devil's Daughter,8.4,False
440020,bit Dungeon+,8.4,False
1179210,Kill It With Fire,8.4,False
353940,Aces of the Luftwaffe,8.4,False
490220,Prismata,8.3,False
582560,The Invisible Hours,8.3,False
790850,Undead Horde,8.3,False
504430,The Watchmaker,8.3,False
435790,10 Second Ninja X,8.2,False
339190,Dead Synchronicity: Tomorrow Comes Today,8.2,True
624270,The Painscreek Killings,8.2,True
546550,Snowball!,8.2,False
1062140,Garden Story,8.2,False
1093290,The Wild at Heart,8.2,False
593960,Lorelai,8.2,False
1115780,The Almost Gone,8.1,False
517140,POLYCRUSHER,8.1,False
1098170,Dark Nights with Poe and Munro,8.1,False
513290,Lucius III,8.1,False
209630,Magrunner: Dark Pulse,8.1,False
287630,The Council,8.1,False
441870,OutDrive,8.0,False
632360,Risk of Rain 2,8.0,False
380,Half-Life 2: Episode One,8.0,False
968870,Close to the Sun,8.0,False
944920,Nanotale - Typing Chronicles,8.0,False
421170,Indivisible,8.0,False
1119980,In Sound Mind,7.9,False
484830,Deep Blue,7.9,False
3590,Plants vs. Zombies: Game of the Year,7.9,False
916900,Paperbark,7.9,False
314810,Randal's Monday,7.9,False
249590,Teslagrad,7.9,False
1050000,Bear With Me: The Lost Robots,7.9,False
1468260,Leaf Blower Revolution - Idle Game,7.8,True
327220,Anna's Quest,7.8,False
1038280,Nobodies,7.8,False
629220,Rise of Insanity,7.8,False
1118240,Lake,7.8,False
236450,PAC-MAN Championship Edition DX+,7.7,False
1942280,Brotato,7.7,True
1419290,Out of Line,7.7,False
1055540,A Short Hike,7.7,True
250380,Knock-knock,7.7,False
680360,Regions Of Ruin,7.6,False
611760,Don't Escape: 4 Days to Survive,7.6,False
866800,The Walking Dead: The Final Season,7.6,False
1386620,Anuchard,7.6,False
690040,SUPERHOT: MIND CONTROL DELETE,7.6,False
434300,Wormhole City,7.6,False
588110,One Dog Story,7.6,False
228360,Full Throttle Remastered,7.6,True
795420,The Darkside Detective: A Fumble in the Dark,7.6,False
747470,Doughlings: Arcade,7.6,False
583270,Cosmic Express,7.5,False
715380,Those Who Remain,7.5,False
638070,Murderous Pursuits,7.5,False
491950,Orwell,7.5,False
614570,Dishonored®: Death of the Outsider™,7.5,False
256460,Cosmic Star Heroine,7.5,False
403460,SkyScrappers,7.5,False
1038300,New Super Lucky's Tale,7.4,False
250320,The Wolf Among Us,7.4,True
1380420,Grow: Song of the Evertree,7.4,False
311010,The Way,7.4,False
1172450,Carto,7.4,True
410110,12 is Better Than 6,7.4,False
1004610,Roombo: First Blood - JUSTICE SUCKS,7.3,False
239200,Amnesia: A Machine for Pigs,7.3,False
334210,Fortified,7.3,False
544610,Battlestar Galactica Deadlock,7.3,False
405720,Perfect Universe,7.3,False
1395030,Kathy Rain: Director's Cut,7.3,True
421740,Goetia,7.3,False
1709170,Paradise Marsh,7.3,False
283640,Salt and Sanctuary,7.3,False
692850,Bloodstained: Ritual of the Night,7.2,False
1058330,Fort Boyard,7.2,False
115110,Stacking,7.2,False
253110,The Cat Lady,7.2,False
278360,A Story About My Uncle,7.2,False
286320,Oknytt,7.1,False
634410,A Story Beside,7.1,False
405640,Pony Island,7.1,False
717560,Lucifer Within Us,7.1,False
1579380,Shadow Tactics: Blades of the Shogun - Aiko's Choice,7.1,False
1001800,KUNAI,7.1,False
224760,FEZ,7.1,False
629820,Maneater,7.1,False
809880,Degrees of Separation,7.1,False
760620,Deiland,7.1,False
838410,Tabletop Playground,7.1,False
574310,The Mooseman,7.0,False
564710,Soda Dungeon,7.0,True
376520,Kelvin and the Infamous Machine,7.0,False
573080,Peregrin,6.9,False
393190,TSIOQUE,6.9,False
1201550,Mad Experiments: Escape Room,6.9,False
364390,Downfall,6.9,False
336730,Supreme League of Patriots Issue 3: Ice Cold in Ellis,6.9,False
383870,Firewatch,6.9,True
220740,Chaos on Deponia,6.8,False
243200,Memoria,6.8,True
1116580,Shady Part of Me,6.8,False
598840,Ninja Shodown,6.8,False
368180,Polyball,6.8,False
420,Half-Life 2: Episode Two,6.8,False
1144770,SLUDGE LIFE,6.8,False
323720,Decay - The Mare,6.8,False
1042490,Call of the Sea,6.7,False
255280,1954 Alcatraz,6.7,False
